period,text,yardsGained
1,Will Howard pass complete to Jeremiah Smith for a 1ST down,11
1,Jeremiah Smith 16 Yd pass from Will Howard (Jayden Fielding Kick),16
1,Will Howard pass complete to Jeremiah Smith for a 1ST down,8
2,Jeremiah Smith 9 Yd pass from Will Howard (Jayden Fielding Kick),9
2,Will Howard pass complete to Jeremiah Smith,3
3,Will Howard pass complete to Jeremiah Smith for a 1ST down,45
1,Will Howard pass complete to Jeremiah Smith for 10 yds to the WMU 40 for a 1ST down,10
1,Will Howard pass complete to Jeremiah Smith for 70 yds for a TD (Jayden Fielding KICK),70
1,Will Howard pass complete to Jeremiah Smith for 18 yds to the WMU 40 for a 1ST down,18
2,Will Howard pass complete to Jeremiah Smith for 15 yds to the OSU 28 for a 1ST down,15
2,Will Howard pass complete to Jeremiah Smith for 6 yds to the OSU 34,6
1,W.Howard pass complete. Catch made by J.Smith for 6 yards. Tackled by MSH at OSU 37.,6
3,W.Howard pass complete. Catch made by J.Smith for 11 yards. Tackled by MSH at MSH 45.,11
3,W.Howard pass complete. Catch made by J.Smith for 53 yards. TOUCHDOWN.,53
1,Will Howard pass complete to Jeremiah Smith for 13 yds to the MSU 33 for a 1ST down,13
1,Will Howard pass complete to Jeremiah Smith for 6 yds to the MSU 9 for a 1ST down,6
2,Will Howard pass complete to Jeremiah Smith for 20 yds to the OSU 45 for a 1ST down,20
2,Devin Brown pass complete to Jeremiah Smith for 17 yds for a TD (Jayden Fielding KICK),17
2,Will Howard pass complete to Jeremiah Smith for 27 yds to the MSU 17 for a 1ST down,27
4,Tommy Schuster pass complete to Jaelen Smith for 16 yds to the OSU 32 for a 1ST down,16
2,"W.Howard pass complete. Catch made by J.Smith for 23 yards. J.Smith FUMBLES, forced by J.Higgins. Fumble RECOVERED by IOW-J.Higgins at IOW 28. Tackled by OSU at IOW 28.",23
2,W.Howard steps back to pass. Pass incomplete intended for J.Smith.,0
3,W.Howard pass complete. Catch made by J.Smith for 4 yards. TOUCHDOWN.,4
3,W.Howard pass complete. Catch made by J.Smith for 53 yards. Tackled by Q.Schulte at IOW 4.,53
3,W.Howard pass complete. Catch made by J.Smith for 9 yards. Pushed out of bounds by S.Castro at IOW 32.,9
1,Will Howard pass complete to Jeremiah Smith for 4 yds to the OSU 35 for a 1ST down,4
1,Will Howard pass complete to Jeremiah Smith for 6 yds to the OSU 44,6
2,Will Howard pass complete to Jeremiah Smith for 6 yds to the OSU 31,6
2,Will Howard pass complete to Jeremiah Smith for 3 yds to the OSU 34,3
3,Will Howard pass complete to Jeremiah Smith for 38 yds to the ORE 38 for a 1ST down,38
3,Will Howard pass complete to Jeremiah Smith for 6 yds for a TD (Jayden Fielding KICK),6
4,Will Howard pass complete to Jeremiah Smith for 18 yds to the ORE 43 for a 1ST down,18
4,Will Howard pass complete to Jeremiah Smith for 10 yds to the ORE 30 for a 1ST down,10
4,Will Howard pass complete to Jeremiah Smith for 9 yds to the OSU 46,9
4,"(00:09) No Huddle-Shotgun Howard,Will pass incomplete short left to Smith,Jeremiah thrown to ORE30 broken up by Muhammad,Jabbar PENALTY ORE Illegal Substitution (Caldwell,Jamaree) 5 yards from ORE43 to ORE38. NO PLAY.",5
1,Will Howard pass complete to Jeremiah Smith for 5 yds to the OSU 34,5
2,Will Howard pass complete to Jeremiah Smith for 60 yds for a TD (Jayden Fielding KICK),60
3,Will Howard pass complete to Jeremiah Smith for 5 yds to the OSU 26,5
3,Will Howard pass incomplete to Jeremiah Smith,0
1,Will Howard pass complete to Jeremiah Smith for 9 yds to the OSU 35,9
1,Will Howard pass incomplete to Jeremiah Smith,0
3,Will Howard pass complete to Jeremiah Smith for 14 yds to the 50 yard line for a 1ST down,14
3,Will Howard pass complete to Jeremiah Smith for 18 yds to the OSU 33 for a 1ST down,18
4,Will Howard pass incomplete to Jeremiah Smith,0
4,Will Howard pass complete to Jeremiah Smith for 14 yds to the PSU 24 for a 1ST down,14
1,Will Howard pass complete to Jeremiah Smith for 25 yds to the OSU 33 for a 1ST down,25
2,Will Howard pass complete to Jeremiah Smith for 17 yds to the PUR 43 for a 1ST down,17
2,Will Howard pass complete to Jeremiah Smith for 9 yds to the OSU 47 for a 1ST down,9
2,Will Howard pass incomplete to Jeremiah Smith,0
2,Will Howard pass complete to Jeremiah Smith for 9 yds to the PUR 34,9
2,Will Howard pass complete to Jeremiah Smith for 11 yds to the PUR 17,11
2,Will Howard pass complete to Jeremiah Smith for 17 yds for a TD (Jayden Fielding KICK),17
4,Hudson Card pass complete to CJ Smith for 3 yds to the PUR 49,3
4,Ryan Browne pass incomplete to Leland Smith,0
1,Will Howard pass complete to Jeremiah Smith for 6 yds to the NU 37,6
2,Will Howard pass complete to Jeremiah Smith for 12 yds to the NU 15 for a 1ST down,12
2,Will Howard pass complete to Jeremiah Smith for 14 yds to the NU 31 for a 1ST down,14
3,Will Howard pass complete to Jeremiah Smith for 68 yds to the NU 17 for a 1ST down,68
2,Will Howard pass complete to Jeremiah Smith for 12 yds to the IU 20 for a 1ST down,12
2,Will Howard pass incomplete to Jeremiah Smith,0
3,Will Howard pass complete to Jeremiah Smith for 13 yds to the IU 34 for a 1ST down,13
3,Will Howard pass incomplete to Jeremiah Smith,0
4,Will Howard pass complete to Jeremiah Smith for 9 yds to the IU 27,9
1,Will Howard pass complete to Jeremiah Smith for 8 yds to the MICH 44,8
1,"No Huddle-Shotgun Howard,Will pass incomplete deep right to Smith,Jeremiah thrown to UM00 PENALTY UM Pass Interference (Johnson,Quinten) 15 yards from UM31 to UM16, 1ST DOWN. NO PLAY.",15
2,"Will Howard pass complete to Jeremiah Smith for 5 yds to the MICH 37 Ohio State Penalty, unsportsmanlike conduct (Yards) to the MICH 37",5
2,Will Howard pass complete to Jeremiah Smith for 9 yds to the MICH 42,9
2,"No Huddle-Shotgun Howard,Will pass incomplete deep left to Smith,Jeremiah thrown to UM00 PENALTY UM Pass Interference (Hill,Jyaire) 15 yards from UM25 to UM10, 1ST DOWN. NO PLAY.",15
2,Will Howard pass incomplete to Jeremiah Smith,0
2,Will Howard pass complete to Jeremiah Smith for 10 yds for a TD (Jayden Fielding KICK),10
3,Will Howard pass incomplete to Jeremiah Smith,0
3,Will Howard pass complete to Jeremiah Smith for 3 yds to the MICH 38,3
